episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
43,0.270718232,0.138121547,0.1049723757,0.08287292818,0,0.01657458564,0.02209944751,0,0,0,0,0.08287292818,0,0.01104972376,0.03314917127,0.01104972376,0.005524861878,0,0,0
44,0.2419354839,0.1182795699,0.05913978495,0.1397849462,0,0.01075268817,0.03225806452,0,0.02150537634,0.08064516129,0,0,0,0.01612903226,0.04838709677,0.005376344086,0.01612903226,0,0,0
45,0.2896551724,0.1103448276,0.0724137931,0.07586206897,0,0.003448275862,0.0275862069,0,0,0.01034482759,0,0,0.1586206897,0.01034482759,0.003448275862,0,0,0,0.0275862069,0
46,0.2960893855,0.05027932961,0.1145251397,0.04469273743,0.005586592179,0.03072625698,0.02234636872,0,0.01117318436,0.0251396648,0.1201117318,0.01117318436,0.08379888268,0.04748603352,0.03910614525,0.01117318436,0,0,0,0
47,0.2510121457,0.2186234818,0.08502024291,0.07692307692,0.06882591093,0.004048582996,0.05668016194,0,0.01214574899,0.01619433198,0.07692307692,0,0,0.03238866397,0.02024291498,0.008097165992,0,0,0,0
48,0.1962962963,0.1148148148,0.1703703704,0.05185185185,0.1259259259,0.04444444444,0.02962962963,0,0.02222222222,0.007407407407,0,0.003703703704,0,0,0.03703703704,0.003703703704,0,0,0,0
49,0.2739726027,0.1438356164,0.1061643836,0.1198630137,0.03424657534,0.03767123288,0.03767123288,0,0,0.01712328767,0,0.04109589041,0.03767123288,0.02397260274,0.01369863014,0,0.01712328767,0,0,0
50,0.3723404255,0.134751773,0.0780141844,0.08156028369,0.06382978723,0.02836879433,0.01773049645,0,0.01773049645,0.01063829787,0,0.003546099291,0,0.01418439716,0.03191489362,0.04255319149,0.007092198582,0,0.03191489362,0
51,0.2476851852,0.1018518519,0.1319444444,0.09490740741,0.04398148148,0.01388888889,0.03240740741,0,0.02314814815,0.009259259259,0,0.009259259259,0.07638888889,0,0.006944444444,0.002314814815,0.01388888889,0,0.08564814815,0
52,0.2669404517,0.1108829569,0.1026694045,0.1663244353,0.01437371663,0.09856262834,0.03696098563,0,0.01848049281,0.01642710472,0.01026694045,0.008213552361,0.01437371663,0.01848049281,0.01232032854,0.01848049281,0.03901437372,0,0,0
