"character","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"Nana",0,0,0,0,10,0,0,0,0
"Narrator",0,0,0,0,0,0,0,2,0
"Nate",0,0,0,0,0,0,19,20,6
"Nellie",0,0,0,0,0,0,10,144,209
"NellieandPam",0,0,0,0,0,0,0,0,1
"Nick",0,0,0,5,0,17,0,0,0
"Nightcleaningcrew",0,0,0,0,0,1,0,0,0
"Nurse",0,0,0,2,3,0,0,2,0
"Officer",0,0,0,1,0,0,0,0,0
"Officer1",0,0,0,3,0,0,0,0,0
"Officer2",0,0,0,2,0,0,0,0,0
"OfficerFoley",0,0,0,0,0,0,0,2,0
"Offscreen",0,0,0,0,0,0,0,1,0
"Olderguy",0,0,0,0,0,0,1,0,0
"Oldlady",0,0,0,0,0,1,0,0,0
"OldLady",0,0,0,0,0,0,0,4,0
"OldMan",0,0,0,0,0,0,0,4,0
"OldWoman",0,0,0,0,1,0,3,0,0
"Oscar",29,66,49,47,178,136,161,175,195
"OscarsComputer",0,0,0,0,0,0,0,0,1
"Oscarsfriend",0,0,0,0,0,0,0,3,0
"Others",0,0,0,0,0,0,0,2,0
"Otherwaitress",0,0,2,0,0,0,0,0,0
"Overhead",0,1,1,0,0,0,0,0,0
"Packaging",0,0,1,0,0,0,0,0,0
"Pam",154,488,543,349,613,510,565,342,513
"PamandKelly",0,0,0,0,0,0,0,1,0
"Pamandothers",0,1,0,0,0,0,0,0,0
"Paramedic",0,0,0,0,0,0,0,2,0
"Paris",0,0,6,0,0,0,0,0,0
"ParkRanger",0,0,0,0,0,0,0,3,0
"PartyAnnouncer",0,0,0,0,0,0,0,0,1
"PartyGuest",0,0,0,0,0,0,0,0,1
"PartyPhotographer",0,0,0,0,0,0,0,0,5
"PartyWaiter",0,0,0,0,0,0,0,0,1
"Pastor",0,0,0,0,0,0,7,0,0
"Patty",0,0,0,0,0,0,0,1,0
"Pete",0,0,0,0,0,0,0,0,143
"Phil",0,0,0,9,0,0,0,0,0
"Philip",0,0,0,0,0,0,0,0,1
"Phillip",0,0,0,0,0,0,0,0,1
"PhilMaguire",0,0,0,4,0,0,0,0,0
