character,season,episode,percent
Dwight,161,8,0.06276150628
Dwight,162,8,0.1957295374
Dwight,163,8,0.09152542373
Dwight,164,9,0.1875
Dwight,165,9,0.1047297297
Dwight,166,9,0.08936170213
Dwight,167,9,0.1257861635
Dwight,168,9,0.1335616438
Dwight,169,9,0.1201413428
Dwight,170,9,0.180887372
Dwight,171,9,0.1770186335
Dwight,172,9,0.1857142857
Dwight,173,9,0.07114624506
Dwight,174,9,0.1535580524
Dwight,175,9,0.1554770318
Dwight,176,9,0.3140794224
Dwight,177,9,0.1423076923
Dwight,178,9,0.1230769231
Dwight,179,9,0.0878243513
Dwight,180,9,0.2328767123
Dwight,181,9,0.1163522013
Dwight,182,9,0.2234432234
Dwight,183,9,0.08974358974
Dwight,184,9,0.1413612565
Dwight,185,9,0.1693227092
Dwight,186,9,0.1461988304
Jim,1,1,0.1572052402
Jim,2,1,0.1231527094
Jim,3,1,0.1714285714
Jim,4,1,0.2016460905
Jim,5,1,0.09216589862
Jim,6,1,0.1589595376
Jim,7,2,0.1245136187
Jim,8,2,0.05653710247
Jim,9,2,0.195035461
Jim,10,2,0.1598746082
Jim,11,2,0.1115241636
Jim,12,2,0.1828358209
Jim,13,2,0.157480315
Jim,14,2,0.09489051095
Jim,15,2,0.1927272727
Jim,16,2,0.09025270758
Jim,17,2,0.130044843
Jim,18,2,0.1510989011
Jim,19,2,0.1886792453
Jim,20,2,0.1034482759
Jim,21,2,0.07857142857
Jim,22,2,0.07920792079
Jim,23,2,0.1690821256
Jim,24,2,0.06367041199
Jim,25,2,0.08695652174
Jim,26,2,0.09523809524
Jim,27,2,0.1089494163
Jim,28,2,0.1397260274
Jim,29,3,0.07482993197
Jim,30,3,0.1070234114
Jim,31,3,0.04580152672
Jim,32,3,0.06302521008
Jim,33,3,0.1717557252
Jim,34,3,0.08920187793
Jim,35,3,0.08076923077
Jim,36,3,0.1392405063
Jim,37,3,0.1623036649
Jim,38,3,0.09128630705
Jim,39,3,0.1146788991
Jim,40,3,0.1449814126
Jim,41,3,0.1207729469
Jim,42,3,0.09727626459
Jim,43,3,0.1049723757
Jim,44,3,0.05913978495
Jim,45,3,0.0724137931
Jim,46,3,0.1145251397
Jim,47,3,0.08502024291
Jim,48,3,0.1703703704
Jim,49,3,0.1061643836
Jim,50,3,0.0780141844
Jim,51,3,0.1319444444
Jim,52,4,0.1026694045
Jim,53,4,0.07129798903
Jim,54,4,0.1229357798
Jim,55,4,0.0907079646
Jim,56,4,0.1346153846
Jim,57,4,0.2455516014
Jim,58,4,0.2918454936
Jim,59,4,0.05737704918
Jim,60,4,0.134751773
Jim,61,4,0.09545454545
Jim,62,4,0.1193548387
Jim,63,4,0.09019607843
Jim,64,4,0.1010638298
Jim,65,4,0.1143410853
Jim,66,5,0.124015748
Jim,67,5,0.1216216216
Jim,68,5,0.1
Jim,69,5,0.07835820896
Jim,70,5,0.08474576271
Jim,71,5,0.2833787466
Jim,72,5,0.06769230769
Jim,73,5,0.1040268456
Jim,74,5,0.0959752322
Jim,75,5,0.1083333333
Jim,76,5,0.116838488
Jim,77,5,0.0534351145
Jim,78,5,0.08393285372
Jim,79,5,0.1434599156
Jim,80,5,0.1299212598
Jim,81,5,0.1166666667
Jim,82,5,0.1254019293
Jim,83,5,0.101010101
Jim,84,5,0.09737827715
Jim,85,5,0.1132686084
Jim,86,5,0.109375
Jim,87,5,0.07971014493
Jim,88,5,0.1041666667
Jim,89,5,0.09090909091
Jim,90,5,0.06204379562
Jim,91,5,0.08791208791
Jim,92,6,0.1265060241
Jim,93,6,0.07089552239
Jim,94,6,0.300330033
Jim,95,6,0.1014492754
Jim,96,6,0.03966005666
Jim,97,6,0.1904761905
Jim,98,6,0.1536050157
Jim,99,6,0.07084468665
Jim,100,6,0.1902834008
Jim,101,6,0.138576779
Jim,102,6,0.1433962264
Jim,103,6,0.1167664671
Jim,104,6,0
Jim,105,6,0.09848484848
Jim,106,6,0.1118644068
Jim,107,6,0.2144
Jim,108,6,0.1433691756
Jim,109,6,0.1814946619
Jim,110,6,0.09192200557
Jim,111,6,0.0325203252
Jim,112,6,0.112804878
Jim,113,6,0.04545454545
Jim,114,6,0.06441717791
Jim,115,6,0.05306122449
Jim,116,7,0.0990990991
Jim,117,7,0.1268656716
Jim,118,7,0.08296943231
Jim,119,7,0.01246105919
Jim,120,7,0.1512820513
Jim,121,7,0.09507042254
Jim,122,7,0.1328671329
Jim,123,7,0.06818181818
Jim,124,7,0.07792207792
Jim,125,7,0.08709677419
Jim,126,7,0.08347245409
Jim,127,7,0.02507836991
Jim,128,7,0.08450704225
Jim,129,7,0.1032258065
Jim,130,7,0.06534090909
Jim,131,7,0.08333333333
Jim,132,7,0.1214057508
Jim,133,7,0.08275862069
Jim,134,7,0.04098360656
Jim,135,7,0.08778625954
Jim,136,7,0.0547112462
Jim,137,7,0.1509433962
Jim,138,7,0.1089494163
Jim,139,7,0.1821862348
Jim,140,8,0.1386861314
Jim,141,8,0.132780083
Jim,142,8,0.1640378549
Jim,143,8,0.0861423221
Jim,144,8,0.1021126761
Jim,145,8,0.1358024691
Jim,146,8,0.1246105919
Jim,147,8,0.08865248227
Jim,148,8,0.09698996656
Jim,149,8,0.1362229102
Jim,150,8,0.06225680934
Jim,151,8,0.06962025316
Jim,152,8,0.1962365591
Jim,153,8,0.1034482759
Jim,154,8,0.1306122449
Jim,155,8,0.1107142857
Jim,156,8,0.08906882591
Jim,157,8,0.1704545455
Jim,158,8,0.1455938697
Jim,159,8,0.1270358306
Jim,160,8,0.06506849315
Jim,161,8,0.10041841
Jim,162,8,0.1708185053
Jim,163,8,0.1050847458
Jim,164,9,0.09375
Jim,165,9,0.1317567568
Jim,166,9,0.01276595745
Jim,167,9,0.1886792453
Jim,168,9,0.1198630137
Jim,169,9,0.03180212014
Jim,170,9,0.07508532423
Jim,171,9,0.0900621118
Jim,172,9,0.1619047619
Jim,173,9,0.1106719368
Jim,174,9,0.06741573034
Jim,175,9,0.1307420495
Jim,176,9,0.1624548736
Jim,177,9,0.1153846154
Jim,178,9,0.1
Jim,179,9,0.05588822355
Jim,180,9,0.02739726027
Jim,181,9,0.09748427673
Jim,182,9,0.05494505495
Jim,183,9,0.07264957265
Jim,184,9,0.164921466
Jim,185,9,0.171314741
Jim,186,9,0.1423001949
Pam,1,1,0.1790393013
Pam,2,1,0.05911330049
Pam,3,1,0.1306122449
Pam,4,1,0.09053497942
Pam,5,1,0.06451612903
Pam,6,1,0.1300578035
Pam,7,2,0.1595330739
Pam,8,2,0.09540636042
Pam,9,2,0.1170212766
Pam,10,2,0.06896551724
Pam,11,2,0.1003717472
Pam,12,2,0.09328358209
Pam,13,2,0.125984252
Pam,14,2,0.1094890511
Pam,15,2,0.1381818182
Pam,16,2,0.06137184116
Pam,17,2,0.07623318386
Pam,18,2,0.1565934066
Pam,19,2,0.1018867925
Pam,20,2,0.1072796935
Pam,21,2,0.08928571429
Pam,22,2,0.1138613861
Pam,23,2,0.09178743961
Pam,24,2,0.07865168539
Pam,25,2,0.1027667984
Pam,26,2,0.07142857143
Pam,27,2,0.09338521401
Pam,28,2,0.1150684932
Pam,29,3,0.04081632653
Pam,30,3,0.1003344482
Pam,31,3,0.06488549618
Pam,32,3,0.1050420168
Pam,33,3,0.1984732824
Pam,34,3,0.1079812207
Pam,35,3,0.08461538462
Pam,36,3,0.07594936709
Pam,37,3,0.08376963351
Pam,38,3,0.1182572614
Pam,39,3,0.1513761468
Pam,40,3,0.09665427509
Pam,41,3,0.04830917874
Pam,42,3,0.1167315175
Pam,43,3,0.08287292818
Pam,44,3,0.1397849462
Pam,45,3,0.07586206897
Pam,46,3,0.04469273743
Pam,47,3,0.07692307692
Pam,48,3,0.05185185185
Pam,49,3,0.1198630137
Pam,50,3,0.08156028369
Pam,51,3,0.09490740741
Pam,52,4,0.1663244353
Pam,53,4,0.09140767824
Pam,54,4,0.04403669725
Pam,55,4,0.110619469
Pam,56,4,0.08653846154
Pam,57,4,0.0640569395
Pam,58,4,0.04721030043
Pam,59,4,0.08606557377
Pam,60,4,0.09929078014
Pam,61,4,0.1590909091
Pam,62,4,0.04193548387
Pam,63,4,0.06274509804
Pam,64,4,0.1755319149
Pam,65,4,0.08139534884
Pam,66,5,0.07086614173
Pam,67,5,0.04054054054
Pam,68,5,0.09259259259
Pam,69,5,0.03358208955
Pam,70,5,0.08474576271
Pam,71,5,0.08174386921
Pam,72,5,0.04307692308
Pam,73,5,0.08724832215
Pam,74,5,0.1795665635
Pam,75,5,0.025
Pam,76,5,0.03092783505
Pam,77,5,0.01908396947
Pam,78,5,0.07673860911
Pam,79,5,0.1476793249
Pam,80,5,0.1496062992
Pam,81,5,0.1066666667
Pam,82,5,0.07717041801
Pam,83,5,0.04713804714
Pam,84,5,0.1423220974
Pam,85,5,0.2103559871
Pam,86,5,0.17578125
Pam,87,5,0.05434782609
Pam,88,5,0.1145833333
Pam,89,5,0.09404388715
Pam,90,5,0.06934306569
Pam,91,5,0.09157509158
Pam,92,6,0.0813253012
Pam,93,6,0.08955223881
Pam,94,6,0.05610561056
Pam,95,6,0.1268115942
Pam,96,6,0.01416430595
Pam,97,6,0.1904761905
Pam,98,6,0.1222570533
Pam,99,6,0.1907356948
