"episode_number"	"episode_name"	"rating"	"votes"	"rating_fraction"
8.18	"Last Day in Florida"	7.8	876	"7.8/10"
8.19	"Get the Girl"	6.9	"1,008"	"6.9/10"
8.2	"The Incentive"	8.1	"1,064"	"8.1/10"
8.20	"Welcome Party"	7.3	920	"7.3/10"
8.21	"Angry Andy"	7.3	976	"7.3/10"
8.22	"Fundraiser"	7.1	914	"7.1/10"
8.23	"Turf War"	7.8	863	"7.8/10"
8.24	"Free Family Portrait Studio"	7.8	914	"7.8/10"
8.3	"Lotto"	7.4	"1,031"	"7.4/10"
8.4	"Garden Party"	8	"1,101"	"8.0/10"
8.5	"Spooked"	7.6	974	"7.6/10"
8.6	"Doomsday"	7.8	921	"7.8/10"
8.7	"Pam's Replacement"	7.8	971	"7.8/10"
8.8	"Gettysburg"	7	"1,017"	"7.0/10"
8.9	"Mrs. California"	7.8	970	"7.8/10"
9.1	"New Guys"	7.8	"1,003"	"7.8/10"
9.10	"Lice"	7.7	904	"7.7/10"
9.11	"Suit Warehouse"	8	892	"8.0/10"
9.12	"Customer Loyalty"	8.2	942	"8.2/10"
9.13	"Junior Salesman"	7.8	854	"7.8/10"
9.14	"Vandalism"	7.7	866	"7.7/10"
9.15	"Couples Discount"	7.5	873	"7.5/10"
9.16	"Moving On"	8.3	991	"8.3/10"
9.17	"The Farm"	7.5	"1,010"	"7.5/10"
9.18	"Promos"	8	893	"8.0/10"
9.19	"Stairmageddon"	8	895	"8.0/10"
9.2	"Roy's Wedding"	7.3	933	"7.3/10"
9.20	"Paper Airplane"	8	896	"8.0/10"
9.21	"Livin' the Dream"	8.8	"1,200"	"8.8/10"
9.22	"A.A.R.M."	9.3	"1,684"	"9.3/10"
9.23	"Finale"	9.7	"4,906"	"9.7/10"
9.3	"Andy's Ancestry"	7.6	910	"7.6/10"
9.4	"Work Bus"	7.8	972	"7.8/10"
9.5	"Here Comes Treble"	7.1	945	"7.1/10"
9.6	"The Boat"	7.8	881	"7.8/10"
9.7	"The Whale"	7.7	859	"7.7/10"
9.8	"The Target"	7.8	865	"7.8/10"
9.9	"Dwight Christmas"	8.3	995	"8.3/10"
