ENumber	Episode_Number	Episode	Rating	Michael	Character
157	8.18	Last Day in Florida	0.78	0	Dwight
158	8.19	Get the Girl	0.69	0	Nellie
159	8.2	Welcome Party	0.73	0	Andy
160	8.21	Angry Andy	0.73	0	Andy
161	8.22	Fundraiser	0.71	0	Andy
162	8.23	Turf War	0.78	0	Dwight
163	8.24	Free Family Portrait Studio	0.78	0	Andy
164	9.1	New Guys	0.78	0	Dwight
165	9.2	Roy's Wedding	0.73	0	Jim
166	9.3	Andy's Ancestry	0.76	0	Andy
167	9.4	Work Bus	0.78	0	Jim
168	9.5	Here Comes Treble	0.71	0	Andy
169	9.6	The Boat	0.78	0	Andy
170	9.7	The Whale	0.77	0	Dwight
171	9.8	The Target	0.78	0	Dwight
172	9.9	Dwight Christmas	0.83	0	Dwight
173	9.1	Lice	0.77	0	Pam
174	9.11	Suit Warehouse	0.8	0	Dwight
175	9.12	Customer Loyalty	0.82	0	Pam
176	9.13	Junior Salesman	0.78	0	Dwight
177	9.14	Vandalism	0.77	0	Pam
178	9.15	Couples Discount	0.75	0	Andy
179	9.16	Moving On	0.83	0	Andy
180	9.17	The Farm	0.75	0	Dwight
181	9.18	Promos	0.8	0	Pam
182	9.19	Stairmageddon	0.8	0	Dwight
183	9.2	Paper Airplane	0.8	0	Andy
184	9.21	Livin' the Dream	0.88	0	Andy
185	9.22	A.A.R.M.	0.93	0	Jim
186	9.23	Finale	0.97	0.003898635478	Dwight
